Ticker,Name,Date,Time,Open,High,Low,Close,Volume,OPENINT
TCS-EQ,TCS-EQ,03092013,11:41:0,2047.7,2047.85,2046.3,2047.15,1462,0
TCS-EQ,TCS-EQ,03092013,11:42:0,2046.35,2046.9,2046.3,2046.5,1504,0
TCS-EQ,TCS-EQ,03092013,11:43:0,2046.5,2046.5,2044.7,2044.7,4649,0
TCS-EQ,TCS-EQ,03092013,11:44:0,2044,2045.7,2042,2043.85,9594,0
TCS-EQ,TCS-EQ,03092013,11:45:0,2042,2044,2042,2043.15,3477,0
TCS-EQ,TCS-EQ,03092013,11:46:0,2043.9,2043.9,2042.45,2043,2391,0
TCS-EQ,TCS-EQ,03092013,11:47:0,2043,2043,2041.2,2042.25,1606,0
TCS-EQ,TCS-EQ,03092013,11:48:0,2042.4,2043.65,2042.4,2043.5,3980,0
TCS-EQ,TCS-EQ,03092013,11:49:0,2044,2047.5,2043.9,2046.8,3635,0
TCS-EQ,TCS-EQ,03092013,11:50:0,2046.8,2047.55,2043.6,2045.95,1992,0
TCS-EQ,TCS-EQ,03092013,11:51:0,2046,2047,2046,2046.05,1182,0
TCS-EQ,TCS-EQ,03092013,11:52:0,2046.55,2046.8,2046.15,2046.55,1043,0
TCS-EQ,TCS-EQ,03092013,11:53:0,2046.55,2046.75,2045.95,2046.05,966,0
TCS-EQ,TCS-EQ,03092013,11:54:0,2046.05,2046.75,2046,2046.4,1218,0
TCS-EQ,TCS-EQ,03092013,11:55:0,2046.05,2046.4,2045.45,2045.55,1355,0
TCS-EQ,TCS-EQ,03092013,11:56:0,2045.55,2045.75,2043.85,2043.9,1025,0
TCS-EQ,TCS-EQ,03092013,11:57:0,2043.9,2043.9,2037.3,2040.6,6247,0
TCS-EQ,TCS-EQ,03092013,11:58:0,2036.5,2045.5,2036.5,2042.95,7068,0
TCS-EQ,TCS-EQ,03092013,11:59:0,2043,2043,2041.3,2041.95,2274,0
TCS-EQ,TCS-EQ,03092013,12:0:0,2041.85,2042,2041.45,2041.55,3050,0
TCS-EQ,TCS-EQ,03092013,12:1:0,2041.55,2045.95,2041.45,2045.8,7550,0
TCS-EQ,TCS-EQ,03092013,12:2:0,2046.8,2046.85,2045.5,2045.8,1761,0
TCS-EQ,TCS-EQ,03092013,12:3:0,2045.5,2045.8,2043.9,2043.95,2322,0
TCS-EQ,TCS-EQ,03092013,12:4:0,2043.4,2045,2042.7,2043.9,4484,0
TCS-EQ,TCS-EQ,03092013,12:5:0,2043.9,2043.9,2041.5,2042.95,2805,0
TCS-EQ,TCS-EQ,03092013,12:6:0,2042.95,2043,2042.05,2042.9,2217,0
TCS-EQ,TCS-EQ,03092013,12:7:0,2042.9,2043.95,2042.5,2043.95,2573,0
TCS-EQ,TCS-EQ,03092013,12:8:0,2043.9,2044,2042.9,2043,1905,0
TCS-EQ,TCS-EQ,03092013,12:9:0,2043.15,2043.15,2041.8,2042.9,2319,0
TCS-EQ,TCS-EQ,03092013,12:10:0,2042.95,2044.95,2042.95,2044.95,1509,0
TCS-EQ,TCS-EQ,03092013,12:11:0,2044.95,2045,2044.9,2044.95,2037,0
